,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
302,302,302,11,13,4,51.0,58.25,0.0,13.2,Overcast,16
303,303,303,11,14,3,50.7,67.27,0.0,9.2,Partially cloudy,9
304,304,304,11,16,4,56.5,59.1,0.0,11.0,Clear,14
305,305,305,11,17,3,58.8,54.11,0.0,4.0,Clear,9
306,306,306,11,18,5,60.2,54.4,0.0,7.5,Clear,16
307,307,307,11,19,7,52.7,52.59,0.0,22.5,Clear,28
308,308,308,11,20,2,44.6,31.95,0.0,17.2,Clear,6
309,309,309,11,21,5,46.5,26.25,0.0,15.0,Clear,18
310,310,310,11,22,2,48.6,31.1,0.0,8.6,Partially cloudy,7
311,311,311,11,23,4,53.7,52.38,0.0,11.4,Partially cloudy,15
312,312,312,11,24,4,61.8,70.16,0.0,9.9,Partially cloudy,13
313,313,313,11,25,7,58.9,67.0,0.0,11.5,Partially cloudy,25
314,314,314,11,26,5,48.4,57.38,0.0,13.3,Clear,20
315,315,315,11,27,2,46.7,52.72,0.0,8.0,Partially cloudy,7
316,316,316,11,28,1,57.8,54.34,0.0,20.8,Overcast,4
317,317,317,11,29,6,63.9,88.55,2.09,20.1,"Rain, Overcast",20
318,318,318,11,30,5,65.5,84.83,0.63,16.1,"Rain, Overcast",19
319,319,319,12,1,3,48.2,60.49,0.0,16.1,Clear,10
320,320,320,12,2,2,46.4,55.44,0.0,14.4,Clear,8
321,321,321,12,3,4,47.2,63.96,0.09,9.2,"Rain, Partially cloudy",15
322,322,322,12,4,6,45.5,90.97,0.67,13.3,"Rain, Overcast",21
323,323,323,12,5,1,51.8,82.78,0.87,13.8,"Rain, Overcast",3
324,324,324,12,6,3,57.1,84.09,0.22,12.7,"Rain, Overcast",11
325,325,325,12,7,2,51.1,73.16,0.0,9.2,Partially cloudy,7
326,326,326,12,8,6,42.8,56.66,0.0,16.1,Partially cloudy,21
327,327,327,12,9,2,34.2,48.03,0.0,14.4,Clear,7
328,328,328,12,10,6,35.9,49.44,0.0,7.5,Clear,22
329,329,329,12,11,7,38.6,58.35,0.0,9.7,Partially cloudy,25
330,330,330,12,12,1,52.0,76.82,0.0,9.4,Overcast,4
331,331,331,12,13,5,50.4,93.79,0.06,8.3,"Rain, Overcast",18
332,332,332,12,14,3,48.8,72.83,0.0,11.0,Partially cloudy,11
333,333,333,12,15,4,37.0,49.95,0.0,17.9,Partially cloudy,14
334,334,334,12,16,5,36.1,41.92,0.0,12.1,Partially cloudy,19
335,335,335,12,17,4,46.6,77.37,0.01,9.2,"Rain, Overcast",13
336,336,336,12,18,3,54.3,86.01,0.17,20.2,"Rain, Overcast",11
337,337,337,12,19,4,37.2,79.74,0.0,11.5,Overcast,15
338,338,338,12,20,4,42.2,82.17,0.0,8.6,Partially cloudy,14
339,339,339,12,21,5,45.7,61.5,0.0,6.9,Partially cloudy,18
340,340,340,12,22,3,54.9,49.24,0.0,14.4,Partially cloudy,12
341,341,341,12,23,3,50.9,47.38,0.0,13.3,Partially cloudy,11
342,342,342,12,24,7,57.2,66.6,0.0,8.0,Partially cloudy,26
343,343,343,12,25,2,61.3,76.72,0.0,7.5,Partially cloudy,6
344,344,344,12,26,4,58.6,87.61,0.01,10.3,"Rain, Overcast",14
345,345,345,12,27,4,62.2,86.62,0.01,12.6,"Rain, Overcast",16
346,346,346,12,28,2,55.9,67.24,0.0,7.5,Partially cloudy,8
347,347,347,12,29,1,56.4,54.45,0.68,26.0,"Rain, Partially cloudy",4
348,348,348,12,30,5,42.5,36.0,0.0,16.1,Clear,13
349,349,349,12,31,5,39.8,60.94,0.12,8.0,"Rain, Overcast",19
